612951970937225216	Mon Jun 22 11:55:12 +0000 2015	1	0	Free on the Kindle Today: Stellar Magic: A Practical Guide to Performing R... by Payam Nabarz http://t.co/jlSNjoBggf via @amazon			455224766	2332	1785	1549	
612952004667813892	Mon Jun 22 11:55:20 +0000 2015	0	0	Not 2 B Missed by #Mystery Lovers! THE MAC FARADAY #MYSTERIES BOX SET #Kindle #ASMSG #BYNR #IARTG #CR4U http://t.co/PxRrYqq8rg via @amazon			80068767	12942	13912	139244	Harpers Ferry, WV
612952102701264896	Mon Jun 22 11:55:44 +0000 2015	0	0	@Amazon to pay publishers when you read a page. Publishers know 90% of pages in their books never even opened :-( http://t.co/fv2sm89DnM			371379500	595	677	1233	Edinburgh
612952141335003136	Mon Jun 22 11:55:53 +0000 2015	0	0	RT @jobisjob Espresso is our #motivationmonday. With our #app, job search from wherever you are. RT to win a £100 @amazon voucher			1417673426	1884	2069	76781	Croxley, Hertfordshire
612952233454477312	Mon Jun 22 11:56:15 +0000 2015	0	11	RT @TheMysteryLadie: Most hilarious hostage scene in crime fiction history! TWELVE TO MURDER #mystery #KindleUnlimited #IARTG http://t.co/m…			1298692537	11251	5367	102010	
612952264299401218	Mon Jun 22 11:56:22 +0000 2015	0	15	RT @Larry_B_Gray: Order your copy of A Boy From Down East. #kindle or #paperback http://t.co/JQHJQJczKJ … via @amazon #ASMSG #IARTG http:…			1593048625	8547	8538	43897	Sweden
612952299141496832	Mon Jun 22 11:56:30 +0000 2015	0	1	RT @Emily42250: You can order The Shadow by @sylvainreynard as paperback ($16.00 US) or kindle ($7.99 US) @amazon http://t.co/C6xOcEsGaA No…			233327972	37608	166	87853	
612952358935511040	Mon Jun 22 11:56:45 +0000 2015	0	12	RT @TheMysteryLadie: Mac is up to his eyeballs in mob &amp; feds in Lauren Carr's BLAST FROM THE PAST #mystery #IARTG #CR4U #SNRTG http://t.co/…			513236793	5383	5531	19258	California
612952377344323585	Mon Jun 22 11:56:49 +0000 2015	0	0	@Emily42250 @amazon We revealed the cover already, but I think Amazon hasn't uploaded it yet, SR	612876770623131648		233327972	37608	166	87853	
612952433887588352	Mon Jun 22 11:57:03 +0000 2015	0	1	RT @barrygrayauthor: Today's Price: $0.00 The Revenge of Esther Norman Book Three by Barry Gray http://t.co/yihIeGodFE via @amazon #Free #…			3072312415	5156	5267	91378	
