id;ticker;name;index_id;exchange_id;fb_page;tw_name;tw_search_name;;other_tw_name;tw_name has other lang than AJ;fb page other lang
259;KHC;The Kraft Heinz Company;1;;Kraft;KraftHeinzCo;Kraft Heinz;;;;
260;KR;Kroger Co.;1;;Kroger;Kroger;Kroger;;;;
261;LB;L Brands Inc.;1;;;L_Brands;L Brands ;;;;
262;LLL;L-3 Communications Holdings;1;;;;L-3 Communications;;;;
263;LH;Laboratory Corp. of America Holding;1;;;LABCORP;LabCorp;;;;
264;LRCX;Lam Research;1;;LamResearchCorporation;LamResearch;Lam Research;;;;
265;LM;Legg Mason;1;;leggmason;leggmason;Legg Mason;;;;
266;LEG;Leggett & Platt;1;;100533476674104;LeggettSleep;Leggett & Platt;;;;
267;LEN;Lennar Corp.;1;;Lennar;Lennar;Lennar;;;;
268;LUK;Leucadia National Corp.;1;;;;Leucadia National;;;;
269;LVLT;Level 3 Communications;1;;level3;level3;Level 3 Communications;;;;
270;LLY;Lilly (Eli) & Co.;1;;;lillypad;Eli Lilly and Company;;;;
271;LNC;Lincoln National;1;;lincolnfinancialgroup;lincolnfingroup;Lincoln National;;;;
272;LLTC;Linear Technology Corp.;1;;LinearTechnologyCorporation;LinearTech;Linear Technology;;;;
273;LMT;Lockheed Martin Corp.;1;;lockheedmartin;LockheedMartin;Lockheed Martin;;;;
274;L;Loews Corp.;1;;LoewsHotels;Loews_Hotels;Loews corp;;;;
275;LOW;Lowe's Cos.;1;;lowes;Lowes;Lowe's Companies;;;;
276;LYB;LyondellBasell;1;;;LyondellBasell;LyondellBasell;;;;
277;MTB;M&T Bank Corp.;1;;MandTBank;MandT_Bank;M&T Bank;;;;
278;MAC;Macerich;1;;;Macerich;Macerich;;;;
279;M;Macy's Inc.;1;;Macys;Macys;Macy's;;;;
280;MNK;Mallinckrodt Plc;1;;;;Mallinckrodt ;;;;
281;MRO;Marathon Oil Corp.;1;;;MarathonOil;Marathon Oil;;;;
282;MPC;Marathon Petroleum;1;;;MarathonPetroCo;Marathon Petroleum;;;;
283;MAR;Marriott Int'l.;1;;marriottinternational;MarriottIntl;Marriott International;;;;
284;MMC;Marsh & McLennan;1;;;MMAUpperMidwest;Marsh & McLennan;;;;
285;MLM;Martin Marietta Materials;1;;;MartinMarietta;Martin Marietta Materials;;;;
286;MAS;Masco Corp.;1;;;MascoCorp;Masco corp;;;;
287;MA;Mastercard Inc.;1;;MasterCard;MasterCardNews;Mastercard;;MasterCard;;
